timestamp_recebido,sensor_id,tipo,valor,limite,topico
2026-08-21T14:25:56,sensor_temp_01,temperatura,81.8,80.0,fabrica/maquina01/temperatura
2026-08-21T14:25:58,sensor_temp_01,temperatura,87.2,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:00,sensor_temp_01,temperatura,88.41,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:02,sensor_temp_01,temperatura,89.73,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:04,sensor_temp_01,temperatura,89.42,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:06,sensor_temp_01,temperatura,87.44,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:07,sensor_temp_02,temperatura,86.63,80.0,fabrica/maquina02/temperatura
2026-08-21T14:26:08,sensor_temp_01,temperatura,81.38,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:09,sensor_temp_02,temperatura,89.43,80.0,fabrica/maquina02/temperatura
2026-08-21T14:26:11,sensor_temp_02,temperatura,89.09,80.0,fabrica/maquina02/temperatura
2026-08-21T14:26:13,sensor_temp_02,temperatura,88.79,80.0,fabrica/maquina02/temperatura
2026-08-21T14:26:15,sensor_temp_02,temperatura,87.91,80.0,fabrica/maquina02/temperatura
2026-08-21T14:26:17,sensor_temp_02,temperatura,82.2,80.0,fabrica/maquina02/temperatura
2026-08-21T14:26:36,sensor_temp_01,temperatura,80.15,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:38,sensor_temp_01,temperatura,86.66,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:40,sensor_temp_01,temperatura,88.63,80.0,fabrica/maquina01/temperatura
2026-08-21T14:26:42,sensor_temp_01,temperatura,88.76,80.0,fabrica/maquina01/temperatura
