timestamp,sensor_id,tipo,valor,unidade,qos,latencia_ms,status,alerta
2026-08-18 22:18:28,sensor_press_03,pressao,101.07,PSI,1,1.19,ok,False
2026-08-18 22:18:29,sensor_press_03,pressao,107.77,PSI,1,1.58,ok,False
2026-08-18 22:18:30,sensor_press_03,pressao,114.91,PSI,1,1.39,ok,False
2026-08-18 22:18:31,sensor_press_03,pressao,122.49,PSI,1,0.81,ok,False
2026-08-18 22:18:32,sensor_press_03,pressao,122.51,PSI,1,1.33,ok,False
2026-08-18 22:18:33,sensor_press_03,pressao,126.91,PSI,1,1.27,ok,False
2026-08-18 22:18:34,sensor_press_03,pressao,135.89,PSI,1,1.45,ok,False
2026-08-18 22:18:35,sensor_press_03,pressao,138.51,PSI,1,1.34,ok,False
2026-08-18 22:18:36,sensor_press_03,pressao,139.39,PSI,1,1.24,ok,False
2026-08-18 22:18:37,sensor_press_03,pressao,142.48,PSI,1,1.39,ok,False
2026-08-18 22:18:38,sensor_press_03,pressao,142.49,PSI,1,1.43,ok,False
2026-08-18 22:18:39,sensor_press_03,pressao,140.37,PSI,1,1.18,ok,False
2026-08-18 22:18:40,sensor_press_03,pressao,135.0,PSI,1,0.99,ok,False
2026-08-18 22:18:41,sensor_press_03,pressao,133.73,PSI,1,1.66,ok,False
2026-08-18 22:18:42,sensor_press_03,pressao,131.44,PSI,1,1.21,ok,False
2026-08-18 22:18:43,sensor_press_03,pressao,127.95,PSI,1,1.37,ok,False
2026-08-18 22:18:44,sensor_press_03,pressao,120.51,PSI,1,1.68,ok,False
2026-08-18 22:18:45,sensor_press_03,pressao,115.79,PSI,1,1.2,ok,False
2026-08-18 22:18:46,sensor_press_03,pressao,111.84,PSI,1,1.44,ok,False
2026-08-18 22:18:47,sensor_press_03,pressao,105.91,PSI,1,1.69,ok,False
2026-08-18 22:18:48,sensor_press_03,pressao,100.75,PSI,1,1.26,ok,False
2026-08-18 22:18:49,sensor_press_03,pressao,91.59,PSI,1,1.27,ok,False
2026-08-18 22:18:50,sensor_press_03,pressao,85.04,PSI,1,1.05,ok,False
2026-08-18 22:18:51,sensor_press_03,pressao,80.4,PSI,1,1.54,ok,False
2026-08-18 22:18:52,sensor_press_03,pressao,75.89,PSI,1,1.19,ok,False
2026-08-18 22:18:53,sensor_press_03,pressao,69.0,PSI,1,1.8,ok,False
2026-08-18 22:18:54,sensor_press_03,pressao,68.15,PSI,1,1.08,ok,False
2026-08-18 22:18:55,sensor_press_03,pressao,65.62,PSI,1,1.08,ok,False
2026-08-18 22:18:56,sensor_press_03,pressao,59.8,PSI,1,1.37,ok,False
2026-08-18 22:18:57,sensor_press_03,pressao,59.0,PSI,1,1.44,ok,False
2026-08-18 22:18:58,sensor_press_03,pressao,62.64,PSI,1,23.34,ok,False
2026-08-18 22:18:59,sensor_press_03,pressao,61.77,PSI,1,2.34,ok,False
2026-08-18 22:19:00,sensor_press_03,pressao,64.71,PSI,1,1.73,ok,False
2026-08-18 22:19:01,sensor_press_03,pressao,66.56,PSI,1,1.48,ok,False
2026-08-18 22:19:02,sensor_press_03,pressao,68.87,PSI,1,0.7,ok,False
2026-08-18 22:19:03,sensor_press_03,pressao,71.58,PSI,1,0.97,ok,False
2026-08-18 22:19:04,sensor_press_03,pressao,75.76,PSI,1,0.88,ok,False
2026-08-18 22:19:05,sensor_press_03,pressao,85.31,PSI,1,0.91,ok,False
2026-08-18 22:19:06,sensor_press_03,pressao,89.2,PSI,1,1.49,ok,False
2026-08-18 22:19:07,sensor_press_03,pressao,98.43,PSI,1,1.03,ok,False
2026-08-18 22:19:08,sensor_press_03,pressao,105.44,PSI,1,1.42,ok,False
2026-08-18 22:19:09,sensor_press_03,pressao,105.75,PSI,1,1.37,ok,False
2026-08-18 22:19:10,sensor_press_03,pressao,116.86,PSI,1,1.58,ok,False
2026-08-18 22:19:11,sensor_press_03,pressao,122.6,PSI,1,1.46,ok,False
2026-08-18 22:19:12,sensor_press_03,pressao,124.65,PSI,1,1.36,ok,False
2026-08-18 22:19:13,sensor_press_03,pressao,130.4,PSI,1,0.83,ok,False
2026-08-18 22:19:14,sensor_press_03,pressao,132.29,PSI,1,0.83,ok,False
2026-08-18 22:19:15,sensor_press_03,pressao,134.74,PSI,1,1.33,ok,False
2026-08-18 22:19:16,sensor_press_03,pressao,141.22,PSI,1,1.44,ok,False
2026-08-18 22:19:17,sensor_press_03,pressao,137.21,PSI,1,0.94,ok,False
2026-08-18 22:19:18,sensor_press_03,pressao,141.75,PSI,1,1.68,ok,False
