timestamp,sensor_id,tipo,valor,unidade,qos,latencia_ms,status,alerta
2026-08-21 13:41:26,sensor_vib_03,vibracao,15.21,Hz,1,1.06,ok,False
2026-08-21 13:41:28,sensor_vib_03,vibracao,16.14,Hz,1,1.01,ok,False
2026-08-21 13:41:30,sensor_vib_03,vibracao,16.03,Hz,1,0.77,ok,False
2026-08-21 13:41:32,sensor_vib_03,vibracao,15.29,Hz,1,0.92,ok,False
2026-08-21 13:41:34,sensor_vib_03,vibracao,12.48,Hz,1,0.74,ok,False
2026-08-21 13:41:36,sensor_vib_03,vibracao,11.02,Hz,1,0.83,ok,False
2026-08-21 13:41:38,sensor_vib_03,vibracao,7.96,Hz,1,0.96,ok,False
2026-08-21 13:41:40,sensor_vib_03,vibracao,6.59,Hz,1,1.3,ok,False
2026-08-21 13:41:42,sensor_vib_03,vibracao,4.42,Hz,1,1.08,ok,False
2026-08-21 13:41:44,sensor_vib_03,vibracao,1.49,Hz,1,0.89,ok,False
2026-08-21 13:41:46,sensor_vib_03,vibracao,0.9,Hz,1,0.74,ok,False
2026-08-21 13:41:48,sensor_vib_03,vibracao,0.4,Hz,1,0.61,ok,False
2026-08-21 13:41:50,sensor_vib_03,vibracao,0.56,Hz,1,0.77,ok,False
2026-08-21 13:41:52,sensor_vib_03,vibracao,1.63,Hz,1,0.88,ok,False
2026-08-21 13:41:54,sensor_vib_03,vibracao,3.26,Hz,1,0.85,ok,False
2026-08-21 13:41:56,sensor_vib_03,vibracao,5.12,Hz,1,0.76,ok,False
2026-08-21 13:41:58,sensor_vib_03,vibracao,7.05,Hz,1,0.89,ok,False
2026-08-21 13:42:00,sensor_vib_03,vibracao,10.09,Hz,1,0.91,ok,False
2026-08-21 13:42:02,sensor_vib_03,vibracao,11.64,Hz,1,0.98,ok,False
2026-08-21 13:42:04,sensor_vib_03,vibracao,14.08,Hz,1,0.65,ok,False
2026-08-21 13:42:06,sensor_vib_03,vibracao,15.39,Hz,1,0.71,ok,False
2026-08-21 13:42:08,sensor_vib_03,vibracao,16.27,Hz,1,1.0,ok,False
2026-08-21 13:42:10,sensor_vib_03,vibracao,15.75,Hz,1,0.71,ok,False
2026-08-21 13:42:12,sensor_vib_03,vibracao,15.54,Hz,1,0.87,ok,False
2026-08-21 13:42:14,sensor_vib_03,vibracao,13.07,Hz,1,0.83,ok,False
2026-08-21 13:42:16,sensor_vib_03,vibracao,11.17,Hz,1,0.81,ok,False
2026-08-21 13:42:18,sensor_vib_03,vibracao,9.01,Hz,1,0.74,ok,False
2026-08-21 13:42:20,sensor_vib_03,vibracao,6.21,Hz,1,0.58,ok,False
2026-08-21 13:42:22,sensor_vib_03,vibracao,4.08,Hz,1,1.14,ok,False
2026-08-21 13:42:24,sensor_vib_03,vibracao,2.63,Hz,1,0.94,ok,False
2026-08-21 13:42:26,sensor_vib_03,vibracao,0.0,Hz,1,1.01,ok,False
